word,meaning,partOfSpeech,phonetic
"altitude","高度，海拔；[pl.]高处，高地","n.","/'æltitju:d/"
"aluminum","(aluminium)铝","n.","/ə'lju:minəm/"
"amaze","使惊奇，使惊愕；使困惑 vi.表现出惊奇","vt.","/ə'meiz/"
"ambassador","大使；特使，(派驻国际组织的)代表","n.","/æm'bæsədə/"
"ambiguous","引起歧义的，模棱两可的，含糊不清的","a.","/æm'biɡjuəs/"
"ambition","对(成功、权力等)的强烈欲望，野心；雄心","n.","/æm'biʃən/"
"ambitious","有抱负的，雄心勃勃的；有野心的","a.","/æm'biʃəs/"
"ambulance","救护车，救护船，救护飞机","n.","/'æmbjuləns/"
"amend","修改，修订，改进","vt.","/ə'mend/"
"amiable","和蔼可亲的，友善的，亲切的","a.","/'eimjəbl/"
"amid","在…中间，在…之中，被…围绕","prep.","/ə'mid/"
"among","在…之中；在一群(组)之中；于…之间","prep.","/ə'mʌŋ/"
"amount","""""n.总数，数量；数额 v.共计；等同,接近(to)""""","","/ə'maunt/"
"ample","充分的，富裕的；宽敞的，宽大的","a.","/'æmpl/"
"amplifier","放大器，扩大器","n.","/'æmplifaiə/"
"amplify","放大，增强；详述，详加解说","vt.","/'æmplifai/"
"amuse","向…提供娱乐，使…消遣；引人发笑","vt.","/ə'mju:z/"
"analogue","类似物；相似体；模拟","n.","/'ænəlɔɡ/"
"analogy","类似，相似，类比，类推","n.","/ə'nælədʒi/"
"analyse","（analyze）分析，分解","vt.","/'ænəlaiz/"
"analysis","(pl.analyses)分析；分解","n.","/ə'næləsis/"
"ancestor","祖宗，祖先；原型，先驱","n.","/'ænsestə/"
"anchor","/v.锚；危难时可依靠的人或物；用锚泊船","n.","/'æŋkə/"
"ancient","古代的，古老的，古式的","a.","/'einʃənt/"
"anecdote","轶事，趣闻，短故事","n.","/'ænikdəut/"
"angel","天使，安琪儿","n.","/'eindʒəl/"
"anger","愤怒，气愤 vt.使发怒，激怒 vi.发怒","n.","/'æŋɡə/"
"angle","角，角度 v.钓鱼；(采用各种方法）取得","n.","/'æŋɡl/"
"angry","生气的，愤怒的；(天气)风雨交加的","a.","/'æŋɡri/"
"anguish","(尤指心灵上的)极度痛苦，烦恼","n.","/'æŋɡwiʃ/"
"animal","动物，野兽，牲畜 a.动物的，野兽的","n.","/'æniməl/"
"ankle","足踝，踝关节","n.","/'æŋkl/"
"announce","正式宣布；发表；通告；广播（电台节目）","v.","/ə'nauns/"
"annoy","使恼怒，使生气；打扰 vi.招人讨厌","vt.","/ə'nɔi/"
"annual","每年的，一年生的 n.年刊；一年生植物","a.","/'ænjuəl/"
"anonymous","匿名的，无名的，姓氏不明的","a.","/ə'nɔniməs/"
"another","另一个，又，再 pron.另一个，类似的一个","a.","/ə'nʌðə/"
"ant","蚁；蚂蚁","n.","/ænt/"
"antenna","(无线电或电视的)天线","n.","/æn'tenə/"
"anticipate","预料；期望；预先考虑；抢先；提前使用","vt.","/æn'tisipeit/"
"antique","古式的，过时的　n.有价值的古物，古董","a.","/æn'ti:k/"
"anxiety","挂念，焦虑，焦急，忧虑；渴望，热望","n.","/æŋ'zaiəti/"
"anxious","焦虑的，担心的；急于(得到的)，渴望的","a.","/'ænkʃəs/"
"any","""""a.(用于否定句、疑问句等)什么,一些;任何的""""","","/'eni/"
"anyhow","不管怎么说，无论如何；不论用何种方法","ad.","/'enihau/"
"anyone","(用于疑问句，否定式)任何人","pron.","/'eniwʌn/"
"anything","任何东西(事物)；无论什么东西(事物)","pron.","/'eniθiŋ/"
"anyway","不管怎么说，无论如何；不论以何种方式","ad.","/'eniwei/"
"anywhere","无论哪里；(用于否定、疑问等)任何地方","ad.","/'enihwεə/"
"apart","分离，离开，隔开 a.分离的，分隔的","ad.","/ə'pɑ:t/"
"apartment","[英]房间，套间；[美]公寓","n.","/ə'pɑ:tmənt/"
"apologise","""""v.(to,for)道歉，认错""""","","/ə'pɔlədʒaiz/"
"apology","道歉，认错，辩解，辩护","n.","/ə'pɔlədʒi/"
"appal","使惊骇，使恐怖","v.","/ə'pɔ:l/"
"apparent","""""a.表面上的,貌似真实的；显然的,明明白白的""""","","/ə'pærənt/"
"appeal","呼吁，恳求；申诉 n.呼吁；申诉；吸引力","vi.","/ə'pi:l/"
"appear","出现；出场；问世；仿佛；出版，发表","vi.","/ə'piə/"
"appearance","出现，露面；外表；(在会议等)作短暂露面","n.","/ə'piərəns/"
"appendix","附录，附属物；阑尾，盲肠","n.","/ə'pendiks/"
"appetite","食欲，胃口；欲望，性欲；爱好，趣味","n.","/'æpitait/"
"applaud","鼓掌欢迎；赞同 vi.鼓掌欢迎，欢呼","vt.","/ə'plɔ:d/"
"applause","鼓掌；喝彩；夸奖，赞扬","n.","/ə'plɔ:z/"
"apple","苹果，苹果树","n.","/'æpl/"
"appliance","电器；器械，装置；应用，适用","n.","/ə'plaiəns/"
"apply","(以书面形式)申请；请求 vt.应用；实施","vi.","/ə'plai/"
"appoint","任命，委派；指定，约定(时间、地点等)","vt.","/ə'pɔint/"
"appointment","""""n.约会,约定；任命,委派;委任的职位""""","","/ə'pɔintmənt/"
"appraisal","对...作出的评价；评价，鉴定，评估","n.","/ə'preizəl/"
"appreciate","为...表示感激，感谢；欣赏，赏识，评价","vt.","/ə'pri:ʃieit/"
"approach","""""v.靠近，接近n.接近；途径，入门;方式,方法""""","","/ə'prəutʃ/"
"appropriate","""""a.适当的,恰当的,特有的 vt.拨给,挪用,盗用""""","","/ə'prəuprieit/"
"approval","批准，通过；赞成，同意","n.","/ə'pru:vəl/"
"approve","(of)赞成，赞许，同意；批准，审议，通过","v.","/ə'pru:v/"
"apt","恰当的，适当的；易于…的，有…倾向的","a.","/æpt/"
"arbitrary","任意的，任性的，主观的；专断的，武断的","a.","/'ɑ:bitrəri/"
"arch","拱门，桥拱洞 v.拱起，(使)变成弓形","n.","/ɑ:tʃ/"
"architect","建筑师；设计师；缔造者；创造者","n.","/'ɑ:kitekt/"
"architecture","建筑，建筑学；建筑式样或风格，建筑物","n.","/'ɑ:kitektʃə/"
"area","面积；地区，地域；领域，范围","n.","/'εəriə/"
"argue","辩论，争论 vt.辩论，论证；说服，劝说","vi.","/'ɑɡju:/"
"argument","争论(吵)，辩论；理由;论证","n.","/'ɑ:ɡjumənt/"
"arise","出现，发生；(from)由…引起，由…产生","v.","/ə'raiz/"
"arithmetic","算术，四则运算","n.","/ə'riθmətik/"
"arm","手臂，扶手，臂状物 v.武装；配备 n.武器","n.","/ɑ:m/"
"army","军队，陆军，军；大群，大批","n.","/'ɑ:mi/"
"around","在...周围，到处 prep.在..四周(或附近)","ad.","/ə'raund/"
"arouse","唤醒，叫醒；唤起，激起","vt.","/ə'rəuz/"
"arrange","安排，筹划；整理，使有条理，排列，布置","v.","/ə'reindʒ/"
"array","大量；排列；盛装 v.列阵；装扮；排列","n.","/ə'rei/"
"arrest","逮捕，扣留 vt.逮捕，扣留；阻止；吸引","n.","/ə'rest/"
"arrival","到达，到来；到达者，到达物","n.","/ə'raivəl/"
"arrive","到达；(时间、事件)到来，发生；达到","vi.","/ə'raiv/"
"arrogant","傲慢的，自大的","a.","/'ærəɡənt/"
"arrow","箭，矢，箭状物；箭头符号","n.","/'ærəu/"
"art","艺术，美术；技术，技艺；文科，人文科学","n.","/ɑ:t/"
"artery","动脉；干线，要道","n.","/'ɑ:təri/"
"article","文章，论文；条款，条文；物件；冠词","n.","/'ɑ:tikəl/"
"articulate","善于表达的；有关节相连的 v.清楚地讲话","a.","/ɑ:'tikjulət/"
"artist","艺术家，美术家；(某方面的)能手","n.","/'ɑ:tist/"
"artistic","艺术(家)的，美术(家)的；善于艺术创作的","a.","/ɑ:'tistik/"
"ascend","渐渐上升，升高vt.攀登，登上","vi.","/ə'send/"
"ascertain","确定，查明，弄清","vt.","/ə'send/"
"ash","灰，灰末；(pl.)骨灰；(pl.)废墟","n.","/æʃ/"
"ashamed","惭愧的，羞耻的，害臊的","a.","/ə'ʃeimd/"
"ashore","上岸；在岸上，向岸上","ad.","/ə'ʃɔ:/"
"aside","在旁边，到一边 n.旁白；离题的话","ad.","/ə'said/"
"asleep","睡觉，睡着(用作表语)","a.","/ə'sli:p/"
"aspect","""""n.样子, 外表, 面貌, (问题等的)方面""""","","/'æspekt/"
"aspire","(to，after)渴望，追求，有志于","vi.","/ə'spaiə/"
"assassinate","暗杀，行刺；中伤","vt.","/ə'sæsineit/"
"assault","猛烈地攻击，袭击 n.突然而猛烈的攻击","v.","/ə'sɔ:lt/"
"assemble","集合，召集；装配；收集 vi.集合，聚集","vt.","/ə'sembl/"
"assembly","集合；会议；装配；(美)洲议会的众议院","n.","/ə'sembli/"
"assert","""""vt.断言,宣称；坚持；主张（权利、权威等）""""","","/ə'sə:t/"
"assess","(为征税)评估(财产、收入)；征税；评价","vt.","/ə'ses/"
"asset","""""n.(pl.)资产,财产；有价值的物品；天赋""""","","/'æset/"
"assign","派给，分配；选定，指定(时间、地点等)","vt.","/ə'sain/"
"assignment","分配，指派；(指定的)作业，(分派的)任务","n.","/ə'sainmənt/"
"assimilate","吸收，消化；使同化 vi.被吸收；被同化","vt.","/ə'simileit/"
"assist","协助，帮助，促进 vi.帮忙，参加","vt.","/ə'sist/"
"assistance","协作; 援助; 帮助","n.","/ə'sistəns/"
"assistant","帮助的，辅助的 n.助手，助教；辅助物","a.","/ə'sistənt/"
"associate","联想；交往；联合；n.伙伴；a.联合的","vt.","/ə'səuʃieit/"
"assumption","假定，设想；采取；承担；推测；假装","n.","/ə'sʌmpʃən/"
"assurance","""""n.保证,担保；确信,断言；信心,信念""""","","/ə'ʃuərəns/"
"assure","使确信，使放心(of)；向…保证","vt.","/ə'ʃuə/"
"astonish","使惊讶，使吃惊","vt.","/ə'stɔniʃ/"
"astronaut","太空人，太空旅行者","n.","/'æstrənɔ:t/"
"astronomy","．天文学","n","/ə'strɔnəmi/"
"athlete","运动员，体育家，身强力壮的人","n.","/'æθli:t/"
"atom","原子；微粒，微量","n.","/'ætəm/"
"attach","系，贴，装，连接；使成为一部分；使依恋","v.","/ə'tætʃ/"
"attack","/n.攻击，抨击；着手，开始  n.(病)发作","v.","/ə'tæk/"
"attain","达到；完成；获得 vi.达到","vt.","/ə'tein/"
"attempt","企图，试图 n.努力，尝试，企图","vt.","/ə'tempt/"
"attend","出席，参加；照顾，护理 vi.注意；侍奉","vt.","/ə'tend/"
"attendance","出席；出席人数；护理，照料","n.","/ə'tendəns/"
"attendant","陪从；出席人；服务员 a.出席的；伴随的","n.","/ə'tendənt/"
"attention","注意，注意力；立正；特别照顾；照料","n.","/ə'tenʃən/"
"attorney","(业务或法律事务上的)代理人；辩护律师","n.","/ə'tə:ni/"
"attract","""""vt.引起的注意(或兴趣等),吸引；引起；激起""""","","/ə'trækt/"
"attractive","吸引人的，引人注意的；漂亮的，迷人的","a.","/ə'træktiv/"
"auction","／vt.拍卖","n.","/'ɔ:kʃən/"
"audience","听众，观众，读者；见面，会见","n.","/'ɔ:diəns/"
"audio","/a.音频(响)(的)；声音(的)，听觉(的)","n.","/'ɔ:diəu/"
"audit","审计；查帐；核对；旁听","v.","/'ɔ:dit/"
"August","8月","n.","/ɔ:'ɡʌst/"
"aural","听觉的，听力的","a.","/'ɔ:rəl/"
"authentic","真的，真正的；可靠的，可信的，有根据的","a.","/ɔ:'θentik/"
"author","作者，作家，著作人；创始人，发起人","n.","/'ɔ:θə/"
"authority","权力，权威；权威人士；(pl.)官方，当局","n.","/ɔ:'θɔrəti/"
"auto","(automobile)(口语)汽车","n.","/'ɔ:təu/"
"autonomy","自治，自治权；","n.","/ɔ:'tɔnəmi/"
"autumn","秋，秋季；成熟期，渐衰期","n.","/'ɔ:təm/"
"auxiliary","辅助的，支援的 n.辅助者，辅助设备","a.","/ɔ:ɡ'ziljəri/"
"avail","""""n.[一般用于否定句或疑问句中]效用,利益""""","","/ə'veil/"
"available","(用于物)可利用的；可见到的，接受采访的","a.","/ə'veiləbl/"
"avenue","林荫路，大街；(比喻)途径，渠道，方法","n.","/'ævənju:/"
"average","""""n.平均,平均数 a.平均的；普通的 v.平均""""","","/'ævəridʒ/"
"avert","防止，避免 ；转移(目光、注意力等)","v.","/ə'və:t/"
"avoid","防止，避免；逃避，避开","vt.","/ə'vɔid/"
"await","等候，期待；(事情等)降临于","vt.","/ə'weit/"
"awake","醒着的 vt.唤醒，使觉醒 vi.醒来，醒悟到","a.","/ə'weik/"
"award","""""vt.授予,给予；判定 n.奖,奖金；仲裁""""","","/ə'wɔ:d/"
"aware","知道的，意识到的；","a.","/ə'wεə/"
"away","在远处；离开；渐渐远去；一直；去掉","ad.","/ə'wei/"
"awe","敬畏，惊惧vt.使敬畏，使惊惧","n.","/ɔ:/"
"awful","极度的，极坏的；威严的，可怕的","a.","/'ɔ:ful/"
"awkward","笨拙的；尴尬的；使用不便的；难处理的","a.","/'ɔ:kwəd/"
"axe","（ax）斧子；削减 vt.用斧砍","n.","/æks/"
"axis","轴，轴线，中心线；坐标轴，基准线","n.","/'æksis/"
"baby","婴儿；年龄最小的人；小动物 a.婴儿似的","n.","/'beibi/"
"bachelor","单身汉;(亦作B-)学士(学位)","n.","/'bætʃələ/"
"back","后面的 ad.向后 v.倒退；支持 n.背；后面","a.","/bæk/"
"background","""""n.背景,经历；幕后""""","","/'bækɡraund/"
"backward","""""a.向后的,倒行的;迟钝的 ad.向后,朝反方向""""","","/'bækwəd/"
"bacon","""""n.咸猪肉,熏猪肉""""","","/'beikən/"
"bacterium","(pl.)bacteria 细菌","n.","/bæk'tiəriəm/"
"bad","坏的；低劣的；不舒服的；腐败的；严重的","a.","/bæd/"
"badge","""""n.徽章,像章；标记；象征；记号""""","","/'bædʒ/"
"badly","非常，严重地；坏地，差地，拙劣地","ad.","/'bædli/"
"badminton","羽毛球","n.","/'bædmintən/"
"bag","袋，提包 v.把…装入袋中；猎杀；占有","n.","/bæɡ/"
"baggage","行李","n.","/'bæɡidʒ/"
"bait","饵，引诱物 vt.用饵引诱；折磨，奚落","n.","/beit/"
"bake","""""v.烤,烘,焙;烧硬,焙干""""","","/beik/"
"balance","""""v.称,(使)平衡 n.天平;平衡,均衡;差额,余款""""","","/'bæləns/"
"balcony","阳台；(电影院等的)楼厅，楼座","n.","/'bælkəni/"
"bald","""""a.秃的,秃头的""""","","/bɔ:ld/"
"ball","球(状物);(正式的)舞会vt.把…捏成球状","n.","/bɔ:l/"
"balloon","""""n.气球,飞船；a.气球状的 v.乘坐气球；膨胀""""","","/bə'lu:n/"
"ballot","(不记名)投票；投票总数；投票权 vi.投票","n.","/'bælət/"
"ban","""""v.取缔,查禁;(from)禁止 n.禁止,禁令""""","","/bæn/"
"band","""""n.条,带;乐队;波段;一群,一伙 v.缚,绑扎""""","","/bænd/"
"bandage","绷带 v.用绷带扎缚","n.","/'bændidʒ/"
"bang","""""n.砰砰的声音;猛击 v.砰地关上,猛撞,猛击""""","","/bæŋ/"
"bank","""""n.银行；岸,堤；vi.存入(经营)银行；信赖""""","","/bæŋk/"
"bankrupt","破产的；彻底缺乏的 vt.使破产n.破产者","a.","/'bæŋkrʌpt/"
"banner","旗(帜)","n.","/'bænə/"
"banquet","(正式的)宴会 vi.参加宴会 vt.宴情","n.","/'bæŋkwit/"
"bar","""""n.条,杆,闩;酒吧;栅,障碍(物) v.闩上,阻拦""""","","/bɑ:/"
"barbecue","烤肉；烤肉用的台架 vt.炙烤(肉等)","n.","/'bɑ:bikju:/"
"barber","理发师 vt.为…理发修整 vi.当理发师","n.","/'bɑ:bə/"
"bare","""""a.赤裸的,空的;稀少的,仅有的 v.露出,暴露""""","","/bεə/"
"barely","""""ad.赤裸裸地,无遮蔽地;仅仅,勉强,几乎没有""""","","/'bεəli/"
"bargain","""""n.廉价货;交易,契约,合同 v.议价,成交""""","","/'bɑ:ɡin/"
"bark","(狗等)吠，叫n.吠声，叫声；树皮","vi.","/bɑ:k/"
"barn","""""n.谷仓,仓库 vt.把…贮存入仓""""","","/bɑ:n/"
"barrel","""""n.桶;枪管,炮管""""","","/'bærəl/"
"barren","贫瘠的；不育的；(植物)不结果的；无用的","a.","/'bærən/"
"barrier","""""n.栅栏,屏障;障碍(物) vt.把…关入栅栏""""","","/'bæriə/"
"base","""""n.基础,底部;根据地 v.(on)把…基于""""","","/beis/"
"baseball","棒球","n.","/'beisbɔ:l/"
"basement","""""n.建筑物的底部,地下室,地窖""""","","/'beismənt/"
"basic","""""a.基本的,基础的""""","","/'beisik/"
