revolt	n. 反抗；造反，起义 v. 起义；反抗
modest	adj. 谦虚的
finite	adj. 有限的
obscure	adj. 模糊的,晦涩的；暗的,朦胧的
basement	n. 建筑物的底部,地下室,地窖
information	n. 情报,资料,消息;信息
doctor	n. 医生；博士 v. 窜改，伪造
urban	adj. 城市的, 市内的
preliminary	adj. 预备的,初步的
viewpoint	n. 观点
verdict	n. (陪审团的)裁决,判决；判断；定论
apartment	n. [英]房间，套间；[美]公寓
concrete	adj. 混凝土的；具体的 n. 混凝土
verge	n. 边,边缘 v. 濒临
education	n. 教育,培养
combat	n. 战斗,搏斗,格斗 v. 防止，抑制
marble	n. 大理石,云石
medal	n. 奖章,勋章,纪念章
cycle	n. 周期,循环；自行车 v. 骑自行车；循环
careful	adj. 小心的,仔细的;细致的,精心的
biology	n. 生物学
classification	n. 分类,分级
intelligible	adj. 可理解的，明白易懂的，清楚的
unexpected	adj. 想不到的, 意外的, 未预料到
economy	n. 经济；节约
discreet	adj. (言行)谨慎的；慎重的
prison	n. 监狱
finger	n. 手指；指状物
captain	n. 舰长，船长；机长 v. 做…的首领,指挥
sign	n. 标记,招牌；征兆,迹象 v. 签名(于),署名(于)
event	n. (尤指特殊、重大) 事件
inverse	adj. 相反的,倒转的,反转的 n. 相反之物
accidental	adj. 偶然的；意外的；无意中的
certainty	n. 必然,肯定;必然的事
refine	v. 改进；完善；精炼,精制,提纯
spectrum	n. 范围，幅度；光谱
propose	v. 提议,建议；提出；求婚
recollect	v. 回忆,想起,记起,忆起,记得
allow	v. 允许，准许；承认
custom	n. 习惯,风俗,惯例；(pl.)海关
temple	n. 庙宇,神殿,寺；太阳穴
equivalent	adj. (to)相等的,等价的 n. 相等物,等价物
discount	n. 折扣 v. 不重视；打折扣
comparative	adj. 比较的,相比的
dictionary	n. 词典,字典
design	v. 设计;构思;绘制 n. 设计；图样
congress	n. (代表)大会；国会,议会
vertical	adj. 垂直的,竖的 n. 垂线,垂直位置
indignant	adj. 愤慨的,愤慨不平的
entertain	v. 招待,款待；使娱乐;使欢乐
efficiency	n. 效率；功效
loyalty	n. 忠诚
volcano	n. 火山
negligible	adj. 可忽略不计的，微不足道的
specification	n. (常pl.)规格,说明书,规范
gentleman	n. 绅士,先生
preclude	v. 排除,阻止,妨碍
apart	adv&adj. 〔空间〕分开（的），相距（的），相隔（的）
anonymous	adj. 匿名的，无名的，姓氏不明的
consider	v. 考虑，细想；认为；体谅，顾及
consecutive	adj. 连续的；连贯的；顺序的
spectacular	adj. 壮观的,引人注目的 n. 壮观的演出
directly	adv. 直接地,径直地；马上,立即
economics	n. 经济学
act	v. 行动，做事；表现；表演 n. 行为；法令
compensation	n. 补偿费，赔偿金
accountant	n. 会计人员，会计师
resolute	adj. 坚决的,果断的
sympathize	v. (sympathise)(with)同情;共鸣,同感
coherent	adj. 一致的，协调的；(话语等)条理清楚的
terminal	adj. 晚期的 n. 终点(站)
aside	adv. 在旁边，到一边 n. 旁白；离题的话
criticize	v. 批评；指责；评论
generalize	v. (generalise)归纳,概括；推广,普及
assistant	adj. 帮助的，辅助的 n. 助手，助理，副手
consent	n. 同意,赞成,答应 v. (to)同意，允许
magnificent	adj. 华丽的,高尚的,宏伟的
purpose	n. 目的,意图,用途,效果
partly	adv. 部分地,不完全地,在一定程度上
participate	v. (in)参与,参加
assimilate	v. 吸收，消化；被吸收；被同化
appetite	n. 食欲，胃口；欲望
revenue	n. 财政收入；税收
sentence	n. 句子；判决,宣判 v. 宣判,判决
dome	n. 圆屋顶
fact	n. 事实,实际
side	n. 边，面，侧 v. 支持
namely	adv. 即,也就是
actual	adj. 实际的，真实的
escape	n. 逃跑,逃脱 v. 避开，逃避
provoke	v. 激起，引起；激怒，挑衅，使恼火
battle	n. 战役,战斗;斗争 v. 战斗,斗争,搏斗
timber	n. 木材,木料
efficient	adj. 有效的,效率高的;有能力的,能胜任的
device	n. 装置,设备,仪表
company	n. 公司；陪伴；宾客；(一)群,队,伙
infect	v. 传染；影响
advent	n. (重要事件等的)到来，来临
visible	adj. 看得见的, 明显的, 显著的
money	n. 货币,钱
hesitate	v. 犹豫,踌躇
exceed	v. 超过,胜过；越出 (限制、规定)
meditate	v. 想,考虑；(尤指宗教上的)沉思,冥想
prosecute	v. 指控，公诉；起诉，告发；继续从事
visit	n. 访问,参观 v. 访问,参观；视察
valley	n. (山)谷;流域
acrobat	n. 特技演员，杂技演员
exceedingly	adv. 极端地,非常
supermarket	n. 超级市场
polite	adj. 有礼貌的,客气的;有教养的,文雅的
particular	adj. 特定的，特指的；特殊的，特别的；讲究的；挑剔的 n. 细节，详情
degenerate	v. 衰退,堕落,蜕化 adj. 堕落的 n. 堕落者
eligible	adj. 符合条件的；(尤指婚姻等)合适(意)的
incur	v. 招致,惹起,遭受
occupation	n. 职业,工作；占领,占据
apology	n. 道歉，认错
malignant	adj. 恶性的，致命的；恶意的，恶毒的
fragrant	adj. 香的;芬芳的
contempt	n. 轻视，藐视；受辱，丢脸
assembly	n. 议会；集合；装配
transform	v. 改变,改造
article	n. 文章，论文；物件；条款
disperse	v. 分散；驱散；（使）〔某物〕消散
progress	n. 进步，进展；稳步前进 v. 进步，进展
suffice	v. 充足，足够
close	v. 关；结束 n. 结束 adj. 近的；紧密的 adv. 近地；紧密地
apparent	adj. 显然的,明明白白的；表面上的
tin	n. 锡；罐头 adj. 锡制的
parcel	n. 包裹,邮包 v. 打包,捆扎
eloquent	adj. 雄辩的,有说服力的;善辩的,口才流利的
shepherd	n. 牧民,牧羊人
inject	v. 注射(药液等)；注入
accelerate	v. 使加速，使增速，促进；加速
prescribe	v. 指示,规定；处(方),开(药)
metric	adj. 米制的,公制的
resume	n. 个人简历 v. 再继续；重新开始
barrel	n. 桶；枪管,炮管
metal	n. 金属,金属制品
metaphor	n. 隐喻，暗喻
priority	n. 优先,重点,优先权
diligent	adj. 勤奋的,用功的
barber	n. 理发师
advance	n. 预付款；(常指军事行动中的) 前进 v. 前进，推进〔尤指士兵〕；进展
princess	n. 公主,王妃
memo	n. 备忘录
refusal	n. 拒绝,回绝
artistic	adj. 艺术(家)的，美术(家)的；善于艺术创作的
console	n. 控制台，仪表板 v. 安慰，慰问
tempt	v. 诱惑，引诱，诱使
impose	v. 把 (观点、信仰等) 强加于；强制推行；强制实行
concise	adj. 简明的,简洁的
communicate	v. 沟通
certify	v. 证明，证实；发证书(或执照)给
comparison	n. 比较,对比
mode	n. 方式,式样
compartment	n. 隔层；分隔间
consideration	n. 考虑,思考；需要考虑的事；体谅,照顾
react	v. 反应,起作用；反对,反抗；起反作用,起不良反应
proceed	v. 继续进行，继续做
determine	v. 查明,测定,确定；决心,决定
adequate	adj. 充足的，足够的
catastrophe	n. 大灾难
directory	n. 人名地址录,(电话)号码簿
fellowship	n. 伙伴关系,友情,友谊；团体
merchant	n. 商人；批发商
humidity	n. 湿气,湿度
cat	n. 猫
version	n. 版本,变体,译本,译文;
reporter	n. 报告人,通讯员;记者,报导者
vanish	v. 突然不见;消失
nominal	adj. 名义上的
noun	n. 名词
portable	adj. 轻便的,手提(式)的,可移动的
reverse	n. 相反;背面 adj. 相反的 v. 颠倒,倒转
factory	n. 工厂
accurate	adj. 正确无误的，准确的，精确的；精确的
portrait	n. 肖像,画像
detector	n. 侦察器,探测器,检波器,检电器
fellow	n. 人,家伙；伙伴,同事 adj. 同样的,同事的
greeting	n. 问候,致敬
acid	n. 酸,酸性物质 adj. 酸的,酸味的；尖刻的
customary	adj. 惯例的；习惯的
